"","fips_code","collection_week","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum"
"1",1001,"2020-11-20",17,0,19,5,0
"2",1001,"2020-11-27",21,0,30,12,0
"3",1001,"2020-12-04",28,0,45,9,0
"4",1003,"2020-11-20",19,0,213,58,0
"5",1003,"2020-11-27",57,0,401,50,0
"6",1003,"2020-12-04",14,0,150,47,0
"7",1009,"2020-11-20",4,0,58,0,0
"8",1009,"2020-11-27",10,0,77,0,0
"9",1013,"2020-11-20",0,0,0,0,0
"10",1013,"2020-12-04",4,0,0,0,0
"11",1015,"2020-11-20",34,0,178,0,0
"12",1015,"2020-11-27",35,0,214,0,0
"13",1015,"2020-12-04",42,0,202,0,0
"14",1019,"2020-11-27",8,0,18,9,0
"15",1021,"2020-12-04",14,0,101,0,0
"16",1023,"2020-11-20",0,0,13,0,0
"17",1023,"2020-12-04",5,0,6,0,0
"18",1025,"2020-11-27",0,0,16,6,0
"19",1027,"2020-11-20",6,0,14,0,0
"20",1027,"2020-11-27",0,0,7,0,0
"21",1031,"2020-11-20",10,0,34,4,0
"22",1033,"2020-11-27",38,0,225,12,0
"23",1033,"2020-12-04",28,0,173,8,0
"24",1039,"2020-11-27",5,0,30,0,0
"25",1041,"2020-12-04",4,0,0,0,0
"26",1043,"2020-11-20",50,0,312,0,0
"27",1043,"2020-11-27",51,0,460,0,0
"28",1043,"2020-12-04",51,0,417,0,0
"29",1045,"2020-11-20",4,0,59,0,0
"30",1045,"2020-12-04",5,0,80,0,0
"31",1047,"2020-11-20",13,0,21,0,0
"32",1047,"2020-11-27",19,0,27,0,0
"33",1047,"2020-12-04",24,0,50,0,0
"34",1049,"2020-11-20",4,0,69,16,0
"35",1049,"2020-11-27",4,0,81,20,0
"36",1051,"2020-11-20",5,0,5,0,0
"37",1053,"2020-11-20",9,0,14,9,0
"38",1053,"2020-11-27",5,0,14,5,0
"39",1053,"2020-12-04",14,0,19,6,0
"40",1055,"2020-11-20",69,0,325,14,0
"41",1055,"2020-11-27",85,0,295,11,0
"42",1055,"2020-12-04",80,0,337,17,0
"43",1057,"2020-11-27",18,0,54,4,0
"44",1059,"2020-11-20",13,0,32,17,0
"45",1059,"2020-11-27",34,0,32,30,0
"46",1059,"2020-12-04",33,0,15,10,0
"47",1063,"2020-11-20",0,0,8,0,0
"48",1063,"2020-11-27",0,0,11,0,0
"49",1063,"2020-12-04",0,0,4,0,0
"50",1069,"2020-11-20",51,0,134,7,0
"51",1069,"2020-11-27",30,0,111,0,0
"52",1069,"2020-12-04",27,0,135,0,0
"53",1071,"2020-11-27",9,0,44,0,0
"54",1073,"2020-11-20",267,6,860,144,32
"55",1073,"2020-11-27",390,18,1023,128,22
"56",1073,"2020-12-04",416,12,843,111,37
"57",1077,"2020-11-20",31,0,58,7,0
"58",1077,"2020-11-27",37,0,63,32,0
"59",1077,"2020-12-04",38,0,57,6,0
"60",1079,"2020-11-20",0,0,8,0,0
"61",1083,"2020-11-20",15,0,113,0,0
"62",1083,"2020-11-27",11,0,142,0,0
"63",1083,"2020-12-04",23,0,146,0,0
"64",1089,"2020-11-20",33,0,237,0,0
"65",1089,"2020-11-27",93,0,1030,221,13
"66",1089,"2020-12-04",113,0,1098,232,11
"67",1091,"2020-11-27",11,0,80,0,0
"68",1091,"2020-12-04",15,0,91,10,0
"69",1093,"2020-11-20",35,0,19,4,0
"70",1093,"2020-11-27",54,0,51,0,0
"71",1093,"2020-12-04",66,0,61,0,0
"72",1095,"2020-11-27",35,0,259,11,0
"73",1095,"2020-12-04",37,0,256,14,0
"74",1097,"2020-11-20",26,0,93,6,0
"75",1097,"2020-11-27",84,0,434,9,0
"76",1097,"2020-12-04",84,0,345,13,0
"77",1099,"2020-11-20",5,0,5,0,0
"78",1101,"2020-11-20",21,0,59,63,0
"79",1101,"2020-11-27",53,0,100,80,0
"80",1101,"2020-12-04",84,0,177,58,0
"81",1103,"2020-11-20",34,0,293,28,0
"82",1103,"2020-11-27",34,0,354,34,0
"83",1103,"2020-12-04",39,0,430,50,0
"84",1109,"2020-11-20",5,0,18,0,0
"85",1109,"2020-11-27",8,0,16,0,0
"86",1109,"2020-12-04",10,0,16,0,0
"87",1113,"2020-11-20",4,0,53,0,0
"88",1113,"2020-11-27",0,0,26,0,0
"89",1115,"2020-11-20",14,0,115,11,0
"90",1115,"2020-11-27",20,0,156,9,0
"91",1115,"2020-12-04",26,0,166,4,0
"92",1117,"2020-11-27",31,0,190,0,0
"93",1117,"2020-12-04",36,0,170,4,0
"94",1119,"2020-11-27",0,0,7,0,0
"95",1119,"2020-12-04",0,0,11,0,0
"96",1121,"2020-11-20",10,0,50,7,0
"97",1121,"2020-11-27",5,0,44,6,0
"98",1121,"2020-12-04",18,0,161,6,0
"99",1123,"2020-11-20",24,0,130,0,0
"100",1125,"2020-11-20",39,0,439,18,0
"101",1125,"2020-11-27",0,0,0,0,0
"102",1125,"2020-12-04",66,0,584,16,0
"103",1127,"2020-11-20",35,0,100,27,0
"104",1127,"2020-11-27",33,0,105,4,0
"105",1129,"2020-11-20",0,0,15,0,0
"106",1129,"2020-12-04",11,0,0,0,0
"107",1131,"2020-11-20",0,0,0,0,0
"108",1131,"2020-11-27",0,0,0,0,0
"109",1133,"2020-11-27",11,0,16,0,0
"110",2020,"2020-11-20",5,0,133,15,0
"111",2020,"2020-11-27",0,0,0,0,0
"112",2020,"2020-12-04",9,0,110,13,0
"113",2120,"2020-11-27",10,0,93,0,0
"114",2120,"2020-12-04",10,0,83,0,0
"115",2130,"2020-11-20",0,0,0,0,0
"116",2130,"2020-11-27",0,0,0,0,0
"117",2150,"2020-12-04",6,0,9,0,0
"118",2170,"2020-11-27",24,0,226,5,0
"119",2210,"2020-11-20",0,0,5,0,0
"120",2260,"2020-11-27",0,0,0,0,0
"121",2260,"2020-12-04",0,0,0,0,0
"122",2280,"2020-11-20",0,0,0,0,0
"123",2280,"2020-11-27",0,0,0,0,0
"124",2280,"2020-12-04",0,0,0,0,0
"125",4001,"2020-11-20",0,0,4,5,0
"126",4003,"2020-11-20",29,0,439,18,0
"127",4003,"2020-11-27",6,0,130,6,0
"128",4003,"2020-12-04",24,0,339,12,0
"129",4005,"2020-11-20",12,0,352,67,4
"130",4005,"2020-11-27",9,0,36,0,0
"131",4007,"2020-11-20",5,0,60,6,0
"132",4007,"2020-11-27",11,0,59,0,0
"133",4009,"2020-11-20",14,0,85,0,0
"134",4009,"2020-11-27",14,0,100,0,0
"135",4009,"2020-12-04",13,0,79,5,0
"136",4012,"2020-11-20",0,0,20,0,0
"137",4012,"2020-11-27",15,0,38,8,0
"138",4012,"2020-12-04",9,0,56,8,0
"139",4013,"2020-11-20",565,0,3173,892,0
"140",4013,"2020-11-27",910,0,4238,993,0
"141",4013,"2020-12-04",990,8,4248,999,0
"142",4015,"2020-11-20",169,0,342,37,0
"143",4015,"2020-11-27",199,0,380,43,0
"144",4015,"2020-12-04",356,0,411,36,0
"145",4017,"2020-11-20",16,0,101,0,0
"146",4017,"2020-11-27",15,0,92,0,0
"147",4017,"2020-12-04",14,0,55,0,0
"148",4019,"2020-11-20",154,0,762,67,6
"149",4019,"2020-11-27",130,0,610,35,0
"150",4019,"2020-12-04",126,0,579,58,0
